x0000,y0000,x0001,y0001
4.999593,315.1843555070,4.999593,313.4932266505
6.000063,312.8003024737,6.000063,313.5101783685
7.000052,313.8285778413,7.000052,313.5433349418
8.000049,313.9683277173,8.000049,313.6058200763
9.000071,313.583457695,9.000071,313.7192116535
10.000067,314.0433650655,10.000067,313.9172777995
11.000064,314.3906988026,11.000064,314.2501946219
12.000084,314.6961284291,12.000084,314.7884245177
13.0001,315.497912689,13.0001,315.6248963488
14.000064,316.3601584408,14.000064,316.8736776493
15.000071,318.3952046570,15.000071,318.6634116004
16.000071,321.8708458484,16.000071,321.1229487731
17.00006,324.3800496082,17.00006,324.3598308651
18.00007,326.2919170122,18.00007,328.4324714334
19.000079,330.4164274603,19.000079,333.3197026322
20.000101,336.5851057039,20.000101,338.8951794942
21.000172,347.3612957791,21.000172,344.9133990804
22.00011,353.7097382757,22.00011,351.0132275848
23.000106,358.8092258752,23.000106,356.7497128766
24.000087,362.2677814522,24.000087,361.6404568556
25.000095,363.8146910961,25.000095,365.2332487544
26.000085,366.2215230786,26.000085,367.1737352943
27.000082,368.8622419553,27.000082,367.2635325534
28.000211,365.4421230943,28.000211,365.4929693968
29.000174,359.5167878008,29.000174,362.0441323395
30.000182,355.728021053,30.000182,357.2581711131
31.00017,351.5438695615,31.00017,351.581290567
32.000214,345.7786121263,32.000214,345.4951852496
33.000165,339.9059940305,33.000165,339.4527566696
34.000159,335.6895579565,34.000159,333.8229287288
35.000154,329.3568800099,35.000154,328.8631048938
36.000183,327.1260742098,36.000183,324.7105725286
37.000082,321.448878182,37.000082,321.3960191814
38.000091,317.7117383483,38.000091,318.8665943836
39.000111,315.6319657223,39.000111,317.0185293061
40.00013,314.6792234535,40.00013,315.7239164956
41.00008,314.6576693089,41.00008,314.8535017895
42.000123,314.4999324507,42.000123,314.2912517915
43.000065,313.9963446141,43.000065,313.9422034702
44.000076,314.1925779648,44.000076,313.7337568706
45.000115,314.022390582,45.000115,313.6139877312
